-1,critcalzone.org variable,czo_id,Discipline,CZOs,ODM2Name,ODM2Term,CZO Variable Action,New ODM2 Term,comments,units,Aggregation,,czo_url, czo_id
852,ddmill,3639,Water Chemistry,Boulder,,,?,,,,,,http://criticalzone.org/national/data/dataset/3639,3639
853,ddmill,4165,Water Chemistry,Boulder,,,?,,,,,,http://criticalzone.org/national/data/dataset/4165,4165
854,dead fine roots,4982,All Disciplines,Luquillo,,,New ODM2 Term,Soil organic matter (SOM),,,,,http://criticalzone.org/national/data/dataset/4982,4982
855,decimal day local time,2558,Climatology / Meteorology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2558,2558
856,decimal time of day,2583,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2583,2583
857,decimal time of day,2584,Soil Science / Pedology|Climatology / Meteorology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2584,2584
858,decimal time of day,2586,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2586,2586
859,decimal time of day,2587,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2587,2587
860,decimal time of day,2588,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2588,2588
861,decimal time of day,2601,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2601,2601
862,decimal time of day,2602,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2602,2602
863,decimal time of day,2606,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2606,2606
864,decimal time of day,2607,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2607,2607
865,decimal time of day,2608,Soil Science / Pedology,Shale Hills,Time Stamp,timeStamp,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2608,2608
866,degc,5277,Soil Science / Pedology,Shale Hills,Temperature,temperature,ODM2,,,degc,,,http://criticalzone.org/national/data/dataset/5277,5277
867,degc,5283,Soil Science / Pedology,Shale Hills,Temperature,temperature,ODM2,,,degc,,,http://criticalzone.org/national/data/dataset/5283,5283
868,degrees 2 theta,4620,Soil Science / Pedology,Calhoun,,,?,,,,,,http://criticalzone.org/national/data/dataset/4620,4620
869,delta 18o,2865,Water Chemistry,Boulder,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2865,2865
870,delta deuterium,2865,Water Chemistry,Boulder,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2865,2865
871,delta deuterium per mill,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6292,6292
872,delta deuterium std dev,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,Deuterium,deuterium,ODM2,,uncertainty,,std,,http://criticalzone.org/national/data/dataset/6292,6292
873,delta oxygen18 per mill,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6292,6292
874,delta oxygen18 std dev,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,delta-18O of H2O,delta_18OOfH2O,ODM2,,uncertainty,,std,,http://criticalzone.org/national/data/dataset/6292,6292
875,delta13c of dic,4109,Geochemistry / Mineralogy|Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4109,4109
876,delta13c of dic,4135,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4135,4135
877,delta13c of dic,5492,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5492,5492
878,delta18o of h2o,2740,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2740,2740
879,delta18o of h2o,2740,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2740,2740
880,delta18o of h2o,2742,Water Chemistry|Geochemistry / Mineralogy|Soil Science / Pedology,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2742,2742
881,delta18o of h2o,2742,Water Chemistry|Geochemistry / Mineralogy|Soil Science / Pedology,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2742,2742
882,delta18o of h2o,4109,Geochemistry / Mineralogy|Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4109,4109
883,delta18o of h2o,4135,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4135,4135
884,delta18o of h2o,5491,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5491,5491
885,delta18o of h2o,5492,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5492,5492
886,delta1d of h2o,4135,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4135,4135
887,delta1d of h2o,5492,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5492,5492
888,deltad of h2o,2740,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2740,2740
889,deltad of h2o,2740,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2740,2740
890,deltad of h2o,2742,Water Chemistry|Geochemistry / Mineralogy|Soil Science / Pedology,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2742,2742
891,deltad of h2o,2742,Water Chemistry|Geochemistry / Mineralogy|Soil Science / Pedology,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2742,2742
892,deltad of h2o,4109,Geochemistry / Mineralogy|Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4109,4109
893,deltad of h2o,5491,Water Chemistry,Catalina-Jemez,delta-18O of H2O,delta_18OOfH2O,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5491,5491
894,dem,2915,GIS / Remote Sensing,Boulder,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/2915,2915
895,dem,2921,GIS / Remote Sensing,Boulder,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/2921,2921
896,dem,5131,GIS / Remote Sensing|Biology / Ecology|Geomorphology|Hydrology,Boulder|Catalina-Jemez,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/5131,5131
897,dem,5137,GIS / Remote Sensing|Biology / Ecology|Geomorphology|Hydrology,Boulder|Catalina-Jemez,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/5137,5137
898,dem,5138,GIS / Remote Sensing|Biology / Ecology|Geomorphology|Hydrology,Boulder|Catalina-Jemez,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/5138,5138
899,dem,6103,Geomorphology|GIS / Remote Sensing|Hydrology|Biology / Ecology,National|Boulder|Calhoun|Catalina-Jemez|Eel|Luquillo|Reynolds|Shale Hills,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/6103,6103
900,dems,2866,GIS / Remote Sensing,Boulder,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/2866,2866
901,density,2436,Hydrology,Boulder,Bulk density,bulkDensity,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2436,2436
902,density layer,2433,Hydrology,Boulder,,,?,,,,,,http://criticalzone.org/national/data/dataset/2433,2433
903,depositional habitat,6565,Hydrology,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/6565,6565
904,depth,2591,Geophysics,Shale Hills,Groundwater Depth,groundwaterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2591,2591
905,depth,3886,Hydrology|Modeling / Computational Science|Soil Science / Pedology,Shale Hills,Groundwater Depth,groundwaterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3886,3886
906,depth,3894,Biogeochemistry|Hydrology|Water Chemistry,Boulder,Groundwater Depth,groundwaterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3894,3894
907,depth,4106,Soil Science / Pedology|Hydrology,Calhoun,Groundwater Depth,groundwaterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4106,4106
908,depth,4660,Soil Science / Pedology|Biology / Ecology,Calhoun,Groundwater Depth,groundwaterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4660,4660
909,depth,5273,Geochemistry / Mineralogy|Water Chemistry,Shale Hills,Groundwater Depth,groundwaterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5273,5273
910,depth,5533,Soil Science / Pedology,Calhoun,Groundwater Depth,groundwaterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5533,5533
911,depth,5533,Soil Science / Pedology,Calhoun,Groundwater Depth,groundwaterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5533,5533
912,depth breast height,5751,Biology / Ecology,Luquillo,,,New ODM2 Term,DBH,,,,,http://criticalzone.org/national/data/dataset/5751,5751
913,depth cm,2580,Biogeochemistry|Water Chemistry|Hydrology,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/2580,2580
914,depth cm,2582,Biogeochemistry|Water Chemistry|Hydrology,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/2582,2582
915,depth cm,3621,Biology / Ecology,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/3621,3621
916,depth cm,5281,Biology / Ecology,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/5281,5281
917,depth cm,5564,Soil Science / Pedology,Calhoun,,,?,,,,,,http://criticalzone.org/national/data/dataset/5564,5564
918,depth in cm,4148,Biogeochemistry|Climatology / Meteorology|Soil Science / Pedology,Reynolds,,,New ODM2 Term,Soil Depth,,cm,,,http://criticalzone.org/national/data/dataset/4148,4148
919,depth in soil m,4677,Geophysics,Calhoun,,,New ODM2 Term,Soil Depth,,,,,http://criticalzone.org/national/data/dataset/4677,4677
920,depth m,2653,Geophysics,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/2653,2653
921,depth m,4018,Soil Science / Pedology|Geochemistry / Mineralogy,Calhoun,,,?,,,,,,http://criticalzone.org/national/data/dataset/4018,4018
922,depth m,4659,Biogeochemistry|Soil Science / Pedology,Calhoun,,,?,,,,,,http://criticalzone.org/national/data/dataset/4659,4659
923,depth mm,4871,Hydrology,Shale Hills,Water depth,waterDepth,ODM2,,,mm,,,http://criticalzone.org/national/data/dataset/4871,4871
924,depth of sample cm,2600,Water Chemistry|Hydrology,Shale Hills,,,?,,,cm,,,http://criticalzone.org/national/data/dataset/2600,2600
925,depth to bedrock,2609,Geochemistry / Mineralogy|Biogeochemistry,Boulder|Calhoun|Catalina-Jemez|Luquillo|Shale Hills,,,New ODM2 Term,Bedrock,,,,,http://criticalzone.org/national/data/dataset/2609,2609
926,depth to bt,5982,Soil Science / Pedology,Calhoun,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/5982,5982
927,depth to water table,4685,Hydrology,Calhoun,Water depth,waterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4685,4685
928,depth to water table,4686,Hydrology,Calhoun,Water depth,waterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4686,4686
929,depth to water table m,2599,Water Chemistry|Hydrology,Shale Hills,Water depth,waterDepth,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2599,2599
930,depthcm,5817,Hydrology,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/5817,5817
931,depthm,2822,Geophysics,Boulder,,,?,,,,,,http://criticalzone.org/national/data/dataset/2822,2822
932,depthm,2825,Geophysics,Boulder,,,?,,,,,,http://criticalzone.org/national/data/dataset/2825,2825
933,depthm,2826,Geophysics,Boulder,,,?,,,,,,http://criticalzone.org/national/data/dataset/2826,2826
934,depthm,5324,Hydrology,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/5324,5324
935,descp no na,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/6292,6292
936,description,2573,GIS / Remote Sensing,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/2573,2573
937,deuterium,2974,,,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2974,2974
938,deuterium,2978,,,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2978,2978
939,deuterium,3457,Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Water Chemistry,Christina,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3457,3457
940,deuterium,5485,Biogeochemistry|Biology / Ecology|Climatology / Meteorology|Geomorphology,Eel,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5485,5485
941,deuterium dd,3365,Climatology / Meteorology|Geochemistry / Mineralogy|Hydrology|Water Chemistry,Christina,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3365,3365
942,deuterium excess per mill,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,Deuterium,deuterium,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6292,6292
943,deuterium mass g,2654,Biology / Ecology|Hydrology,Shale Hills,Deuterium,deuterium,ODM2,,,g,,,http://criticalzone.org/national/data/dataset/2654,2654
944,device,2556,Climatology / Meteorology|Hydrology,Shale Hills,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/2556,2556
945,dew point temperature,2414,Climatology / Meteorology,Catalina-Jemez,"Temperature, dew point",temperatureDewPoint,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2414,2414
946,dew point temperature,2432,Climatology / Meteorology,Catalina-Jemez,"Temperature, dew point",temperatureDewPoint,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2432,2432
947,dew point temperature,6113,Climatology / Meteorology|Hydrology|Soil Science / Pedology,National|Boulder|Calhoun|Catalina-Jemez|Christina|Eel|IML|Luquillo|Reynolds|Shale Hills|Sierra,"Temperature, dew point",temperatureDewPoint,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6113,6113
948,dew point temperature,6569,Climatology / Meteorology,Boulder|Catalina-Jemez|Reynolds|Shale Hills|Sierra,"Temperature, dew point",temperatureDewPoint,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6569,6569
949,dewpoint temperature,4703,Climatology / Meteorology,Reynolds,"Temperature, dew point",temperatureDewPoint,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4703,4703
950,diameter at breast height,2571,Biology / Ecology|GIS / Remote Sensing,Shale Hills,,,New ODM2 Term,DBH,,,,,http://criticalzone.org/national/data/dataset/2571,2571
951,diameter at breast height cm,2648,Biology / Ecology,Shale Hills,,,New ODM2 Term,DBH,,,,,http://criticalzone.org/national/data/dataset/2648,2648
952,diameter at breast height cm,2654,Biology / Ecology|Hydrology,Shale Hills,,,New ODM2 Term,DBH,,,,,http://criticalzone.org/national/data/dataset/2654,2654
953,diameter at breast height cm,4614,Biology / Ecology,Calhoun,,,New ODM2 Term,DBH,,,,,http://criticalzone.org/national/data/dataset/4614,4614
954,diameter at breast height dbh cm,4618,Biology / Ecology,Shale Hills,,,New ODM2 Term,DBH,,,,,http://criticalzone.org/national/data/dataset/4618,4618
955,diameter cm at root collar,5190,Biology / Ecology,Shale Hills,,,?,,,cm,,,http://criticalzone.org/national/data/dataset/5190,5190
956,dic dissolved inorganic carbon,2952,Water Chemistry,Luquillo,"Carbon, dissolved organic",carbonDissolvedOrganic,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2952,2952
957,dickite,5531,Geochemistry / Mineralogy,Luquillo,Clay,Clay,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5531,5531
958,didymo rating index dri,2862,Biology / Ecology|Hydrology,Boulder,,,Remove,,,,,,http://criticalzone.org/national/data/dataset/2862,2862
959,diff1avg1 differential degrees c,2654,Biology / Ecology|Hydrology,Shale Hills,,,?,,,,,,http://criticalzone.org/national/data/dataset/2654,2654
960,difn,4679,Biology / Ecology,Calhoun,,,?,,,,,,http://criticalzone.org/national/data/dataset/4679,4679
961,digital elevation model,2612,GIS / Remote Sensing,Catalina-Jemez,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/2612,2612
962,digital elevation model,2613,GIS / Remote Sensing,Catalina-Jemez,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/2613,2613
963,digital elevation model,2615,Geomorphology|GIS / Remote Sensing,Catalina-Jemez,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/2615,2615
964,digital surface model,2612,GIS / Remote Sensing,Catalina-Jemez,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/2612,2612
965,digital surface model,2613,GIS / Remote Sensing,Catalina-Jemez,,,New ODM2 Term,"Digital elevation model, DEM",,,,,http://criticalzone.org/national/data/dataset/2613,2613
966,direction,4679,Biology / Ecology,Calhoun,Wind direction,windDirection,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4679,4679
967,discharge,2464,Hydrology,Christina,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2464,2464
968,discharge,2514,Climatology / Meteorology|Hydrology|Water Chemistry,Christina,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2514,2514
969,discharge,2515,Biology / Ecology|Water Chemistry,Christina,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2515,2515
970,discharge,2544,Climatology / Meteorology|Hydrology|Water Chemistry,Christina,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2544,2544
971,discharge,2603,Hydrology,Sierra,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2603,2603
972,discharge,2644,Hydrology,Catalina-Jemez,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2644,2644
973,discharge,2664,Hydrology,Sierra,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2664,2664
974,discharge,2864,Hydrology,Boulder,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2864,2864
975,discharge,3623,All Disciplines,Luquillo,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3623,3623
976,discharge,4149,Climatology / Meteorology|Hydrology,Reynolds,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4149,4149
977,discharge,4684,Hydrology,Calhoun,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4684,4684
978,discharge,4734,Hydrology|Soil Science / Pedology,Luquillo,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4734,4734
979,discharge,4743,Hydrology,Eel,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4743,4743
980,discharge,5324,Hydrology,Shale Hills,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5324,5324
981,discharge,5326,Hydrology,Shale Hills,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5326,5326
982,discharge,5668,Hydrology|Water Chemistry|Biogeochemistry|Geochemistry / Mineralogy,Luquillo,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5668,5668
983,discharge,6026,Biogeochemistry|Hydrology|Climatology / Meteorology,Luquillo,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6026,6026
984,discharge,6108,Hydrology,National|Boulder|Calhoun|Catalina-Jemez|Eel|IML|Luquillo|Shale Hills|Sierra,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6108,6108
985,discharge 103m3s,2919,Hydrology,Boulder,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2919,2919
986,discharge cfs,4871,Hydrology,Shale Hills,Discharge,discharge,ODM2,,,cfs,,,http://criticalzone.org/national/data/dataset/4871,4871
987,discharge cmd,2594,Water Chemistry|Hydrology,Shale Hills,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2594,2594
988,discharge ft3s,4680,Hydrology|Climatology / Meteorology,Calhoun,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4680,4680
989,discharge ls,6470,Hydrology,Calhoun,Discharge,discharge,ODM2,,,ls,,,http://criticalzone.org/national/data/dataset/6470,6470
990,discharge m3103s,2918,Hydrology,Boulder,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2918,2918
991,discharge m3d,3613,Hydrology,Boulder,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3613,3613
992,discharge m3day,3868,Hydrology,Shale Hills,Discharge,discharge,ODM2,,,m3day,,,http://criticalzone.org/national/data/dataset/3868,3868
993,discharge m3s,4871,Hydrology,Shale Hills,Discharge,discharge,ODM2,,,m3s,,,http://criticalzone.org/national/data/dataset/4871,4871
994,discharge mday,3868,Hydrology,Shale Hills,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3868,3868
995,discharge mday,4610,Hydrology|Modeling / Computational Science,Shale Hills,Discharge,discharge,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4610,4610
996,dissolved inorganic c mgl,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,"Carbon, dissolved inorganic",carbonDissolvedInorganic,ODM2,,,mgl,,,http://criticalzone.org/national/data/dataset/6292,6292
997,dissolved org c mgl,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,"Carbon, dissolved organic",carbonDissolvedOrganic,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6292,6292
998,dissolved org c ppm,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,"Carbon, dissolved organic",carbonDissolvedOrganic,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6292,6292
999,dissolved org n mgl,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,"Nitrogen, dissolved organic",nitrogenDissolvedOrganic,ODM2,,,mgl,,,http://criticalzone.org/national/data/dataset/6292,6292
1000,dissolved org p ugl,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,"Phosphorus, dissolved organic",phosphorusDissolvedOrganic,ODM2,,,ugl,,,http://criticalzone.org/national/data/dataset/6292,6292
1001,dissolved oxygen,3590,Biology / Ecology|Hydrology|Water Chemistry,Luquillo,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/3590,3590
1002,distance,2658,Hydrology,Sierra,Distance,distance,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2658,2658
1003,distance from plot center m,4614,Biology / Ecology,Calhoun,Distance,distance,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4614,4614
1004,distance from transect line m,4618,Biology / Ecology,Shale Hills,Distance,distance,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4618,4618
1005,distance m along transect where the subplot was located,5190,Biology / Ecology,Shale Hills,Distance,distance,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5190,5190
1006,distance on surface m,4677,Geophysics,Calhoun,Distance,distance,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4677,4677
1007,distance on transect m,4618,Biology / Ecology,Shale Hills,Distance,distance,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4618,4618
1008,dkn dissolved kjeldahl nitrogen,2952,Water Chemistry,Luquillo,"Nitrogen, dissolved Kjeldahl",nitrogenDissolvedKjeldahl,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2952,2952
1009,dna,5751,Biology / Ecology,Luquillo,"DNA damage, olive tail moment",DNADamageOliveDailMoment,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5751,5751
1010,do,4982,All Disciplines,Luquillo,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4982,4982
1011,do,4129,Hydrology|Water Chemistry,Shale Hills,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4129,4129
1012,do,5343,Hydrology|Water Chemistry,Shale Hills,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5343,5343
1013,do,5365,Hydrology|Water Chemistry,Shale Hills,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5365,5365
1014,do,6292,Biogeochemistry|Biology / Ecology|Hydrology|Water Chemistry,Boulder|Catalina-Jemez|Eel|Luquillo|Shale Hills|Sierra,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6292,6292
1015,do mg l1,4129,Hydrology|Water Chemistry,Shale Hills,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4129,4129
1016,do mg l1,5343,Hydrology|Water Chemistry,Shale Hills,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5343,5343
1017,do mg l1,5365,Hydrology|Water Chemistry,Shale Hills,"Oxygen, dissolved",oxygenDissolved,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5365,5365
