-1,critcalzone.org variable,czo_id,Discipline,CZOs,ODM2Name,ODM2Term,CZO Variable Action,New ODM2 Term,comments,units,Aggregation,,czo_url, czo_id
38,18o reportable value permil,2593,Water Chemistry|Hydrology|Climatology / Meteorology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2593,2593
39,18o reportable value permil,2594,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2594,2594
40,18o reportable value permil,2599,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
41,18o reportable value permil,2599,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
42,18o reportable value permil,2599,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
43,18o reportable value permil,2600,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2600,2600
44,18o reportable value permil,2654,Biology / Ecology|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2654,2654
45,18o standard deviation permil,2593,Water Chemistry|Hydrology|Climatology / Meteorology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2593,2593
46,18o standard deviation permil,2594,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2594,2594
47,18o standard deviation permil,2599,Water Chemistry|Hydrology,Shale Hills,delta-18O of H2O,delta_18OOfH2O,ODM2,,,permil,,,http://criticalzone.org/national/data/dataset/2599,2599
